publisher_id,bgg_id,name_en,description,country_code
pub_56684,56684,Laguna,"<p><strong>Laguna</strong> is a Serbian book and board game publisher that was founded in 1998, and has since then become the leading book publishing house in Serbia and the Balkan region. Annually in",
pub_52408,52408,Games4you,"<p>The Games4you store offers board games and educational games for children and adults. Here you can find various board games for all ages.</p> <p><a rel=""nofollow"" href=""https://games4you.rs/drustve",
pub_57696,57696,Goblin Gaming,"<p>Based in Istanbul, Turkey, <strong>Goblin Gaming</strong> is publishing games from both Turkish game designers (<em>İhtilal</em>, <em>İnkılap</em>, <em>G&ouml;beklitepe: Dawn of Human</em>) and for",
pub_44204,44204,Spilbræt.dk,"<p>Publishers own description:<br /> Spilbr&aelig;t.dk er nordisk distribut&oslash;r af br&aelig;tspil. Vi forhandler br&aelig;tspil, puslespil og science kits udvalgt med omhu til butikker o.l. i hel",
pub_56861,56861,本长文化,<p>本长文化 is a company that integrates the research and development and experience of desktop games. The company adheres to the idea of &quot;More Games More Fun&quot; and strives to bring people back t,
pub_50269,50269,Salta da Caixa,<p>Salta da Caixa is a dream come true from a family who is passionate about boardgames. We love to spend our free time among friends and family around the table playing boardgames. We believe in the ,
pub_6275,6275,HomoLudicus,"HomoLudicus is a young company that was born in 2007. Our goal, hope and illusion is that everyone can enjoy table games as much as we do. That is why we decided to create a company that contributed t",
pub_49615,49615,Meeple,"<p>We bring the greatest games the world has to offer to the land Down Under.</p> <p>Meeple is all about incredible gameplay, stunning productions, and experiences that players will remember long afte",
pub_38209,38209,Gameland 游戏大陆,"<p><strong>Gameland</strong> &mdash; In today's video games and social media world, we believe interaction and communication in the basic game are valuable for all the family. Gameland, willing to use",
pub_50565,50565,Bluebird Games,"<p>Bluebird Games is a Bulgarian publishing company, founded in 2021.</p> <p><a rel=""nofollow"" href=""https://www.bluebirdgames.bg/"" onclick=""window.open(this.href, '_blank'); return false;"">https://ww",
pub_40415,40415,Divercentro,"<p>Founded in 1992 with the principle of entertaining people. We concentrate on distributing and translating board games, card games and role playing games.</p>",
pub_47883,47883,WoodCat,"<p>Ukrainian publisher since 2019<br /> <a rel=""nofollow"" href=""https://woodcat.com.ua"" onclick=""window.open(this.href, '_blank'); return false;"">https://woodcat.com.ua</a></p> <p><strong>Microbadge:<",
pub_221,221,WizKids (I),"<p><strong>WizKids</strong> was founded in 2000 by <a href=""/boardgamedesigner/411/jordan-weisman"" >Jordan Weisman</a>, previously of <a href=""/boardgamepublisher/342/fasa"" >FASA</a>, to publish <a hr",
pub_46800,46800,Hegemonic Project Games,<p><strong>Hegemonic Project</strong> is a Cyprus-based start-up gaming company that strives to combine the two things we love: politics and board games!</p> <p>&mdash;<em>description from the publish,
pub_38298,38298,Starling Games (II),"<p><strong>Starling Games</strong> is a publishing imprint of Tabletop Tycoon nestled in New Hampshire. We strive to create thematically-driven games for the hobbyist gamer, crafting elegant mechanics",
pub_42875,42875,Abraxas,<p>The bird fights its way out of the egg. The egg is the world. Who would be born must first destroy a world. The bird flies to God. That God's name is Abraxas.</p> <p>&mdash;&thinsp;Hermann Hesse's ,
pub_171,171,(Public Domain),"<p>This is a placeholder entry to be used as publisher for traditional games for which the rules are commonly known, and that cannot be attributed to a specific publisher or designer.</p> <p>The name ",
pub_47309,47309,BrownCastle Games,<p>Premium Crokinole boards<br /> www.BrownCastleGames.com</p>,
pub_755,755,Carrom Company,"<p>218 East Dowland Street<br /> Ludington, MI 49431-2309</p> <strong>1889 - Ludington Novelty Works</strong><br /> <dl> <dd>The company was founded in 1889 as Ludington Novelty Works in Ludington, Mi",
pub_7804,7804,Crokinole World,"<p>Owned by Carl and Stan Hilinski, and makers of the &quot;Hilinski&quot; <a href=""/boardgame/521/crokinole"" >Crokinole</a> Boards.</p>",
pub_5686,5686,Felsberger,<span class='text-muted'>This page does not exist. You can edit this page to create it.</span>,
pub_1562,1562,Ferti,<span class='text-muted'>This page does not exist. You can edit this page to create it.</span>,
pub_2407,2407,Gerhards Spiel und Design,"<p>Microbadge available: <a href=""/microbadge/27448""><img alt='Microbadge: Clemens Gerhards fan' onmouseover=""return overlib('Clemens Gerhards fan', WRAP );"" onmouseout=""return nd();"" title=''class='m",
pub_18842,18842,Hilinski Brothers,<p>Builders of crokinole boards.</p>,
pub_9942,9942,"Industries Prince, Inc.","<p>This toy manufacturer is located in Princeville, Quebec</p> <p>&bull; Address 36 Boul Industriel <br /> &bull; City Princeville <br /> &bull; Province Quebec <br /> &bull; Postal Code G6L 4P2 <br /",
pub_5722,5722,John Jaques of London,"<p>Established in 1795, Jacques is the oldest game company in the world. Passed down from father to son for six generations, Jaques has been responsible for inventing many well known games such as Cro",
pub_5353,5353,Let's Play Games! LLC,<span class='text-muted'>This page does not exist. You can edit this page to create it.</span>,
pub_9552,9552,Mayday Games,<span class='text-muted'>This page does not exist. You can edit this page to create it.</span>,
pub_6261,6261,Mitra,"<p>Na era dos computadores, do videogame e dos brinquedos eletr&ocirc;nicos &eacute; poss&iacute;vel despertar o interesse por simples artefatos de madeira?</p> <p>N&oacute;s, da MITRA - OFFICINA DE C",
